item_name,flips,total_profit,total_spent,roi_percent,avg_profit_per_flip,last_flipped
Guthix d'hide boots,6,84696,3967237,2.1348863201265766,14116,08-14-2025
Guam potion (unf),7,84564,1765872,4.788795563891381,12080.57142857143,08-16-2025
Willow longbow (u),10,83807,1318872,6.354445313874281,8380.7,08-13-2025
Broad bolts,4,83480,968615,8.618491351052791,20870,08-14-2025
Dragonstone ring,3,82474,5019356,1.6431191571189612,27491.333333333332,08-08-2025
Gourmet impling jar,4,82205,19097742,0.4304435571493216,20551.25,08-15-2025
Armadyl d'hide boots,4,82144,2834482,2.8980251065274008,20536,08-08-2025
Magic longbow (u),3,81703,9624868,0.8488739793626261,27234.333333333332,08-20-2025
Dragon dart,5,79064,21317336,0.37089062160487596,15812.8,08-19-2025
Tuna potato,5,78688,7440729,1.0575307876419098,15737.6,08-11-2025
Raw dark crab,3,77216,3397189,2.2729380084534596,25738.666666666668,08-04-2025
Diamond,1,76284,9253836,0.8243500317057704,76284,08-15-2025
Sunfire fanatic helm,3,76003,5966916,1.2737400694093899,25334.333333333332,08-05-2025
Kraken tentacle,5,74721,6803012,1.0983517300866146,14944.2,08-13-2025
Rune crossbow,11,74265,1884714,3.9403856500243535,6751.363636363636,08-14-2025
Saradomin d'hide boots,5,73430,1983881,3.7013308761967076,14686,08-09-2025
Bloodbark boots,15,72829,1564813,4.654166344476944,4855.266666666666,08-03-2025
Cactus spine,2,71566,4036719,1.7728754466189,35783,08-09-2025
Ancient brew(4),5,69939,4168168,1.6779314077551577,13987.8,08-20-2025
Holy sandals,2,68005,1993443,3.411434387639877,34002.5,08-13-2025
Rangers' tights,3,67846,1428084,4.750840986944746,22615.333333333332,08-06-2025
Ursine chainmace (u),3,66620,21252600,0.31346752867884403,22206.666666666668,08-13-2025
Eclectic impling jar,3,65749,14973204,0.4391110947262857,21916.333333333332,08-17-2025
Divine super attack potion(4),7,65538,1031692,6.352477289733757,9362.57142857143,08-10-2025
Justiciar faceguard,1,64952,8805195,0.737655440907328,64952,08-09-2025
Ancient d'hide boots,4,63606,2725767,2.3335083299489647,15901.5,08-11-2025
Big bones,4,63352,1198931,5.284040532774614,15838,07-31-2025
Mystic smoke staff,3,63299,14665278,0.4316249579448818,21099.666666666668,08-14-2025
Boots of brimstone,8,63159,3603930,1.7525035169939485,7894.875,08-05-2025
Bandos boots,6,62772,1532453,4.096177827313465,10462,08-05-2025
Masori mask (f),1,62225,18489105,0.33654955174953033,62225,08-20-2025
Mort myre fungus,4,62200,5488492,1.1332803254518728,15550,08-09-2025
Marrentill,6,61971,1254989,4.937971567878284,10328.5,08-05-2025
Pineapple pizza,4,61350,3150362,1.9473952517202784,15337.5,08-09-2025
Wyrmling bones,3,61231,519044,11.796880418615762,20410.333333333332,08-01-2025
Chasm teleport scroll,11,60972,4337306,1.405757398717084,5542.909090909091,08-03-2025
Flared trousers,1,60949,2824354,2.1579801965334373,60949,08-10-2025
Karil's leathertop,2,60201,3723534,1.616770519619265,30100.5,08-14-2025
Saradomin chaps,7,60048,1345429,4.463111765838256,8578.285714285714,08-02-2025
Guthan's chainskirt,5,59725,815549,7.3232877484982515,11945,08-09-2025
Young impling jar,2,59151,2677770,2.2089649223047534,29575.5,08-07-2025
Dagon'hai robe top,1,58825,1288776,4.56440839990813,58825,08-04-2025
Mole claw,6,57916,703768,8.229416512259721,9652.666666666666,08-03-2025
Dragon sword,8,57225,2332148,2.4537465032236376,7153.125,08-14-2025
Raw manta ray,2,56996,2041144,2.7923556593753305,28498,08-02-2025
